GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejempo2,com.example,App,4,0,0,0,2,0,1,0,1,0
ejempo2,com.example.utils,GeneratorPassword,5,117,0,2,3,28,0,8,0,7
